Rank	Name	Net Worth	Age	Source	Country of Citizenship
666	Lam Wai Ying	$2.6 B	-	Electronics	Hong Kong
666	Li Shuirong	$2.6 B	60	petrochemicals	China
666	Liu Zhongtian	$2.6 B	52	aluminum products	China
666	Daniel Loeb	$2.6 B	55	hedge funds	United States
666	Ronald McAulay	$2.6 B	81	energy	Hong Kong
666	Michael Moritz	$2.6 B	62	venture capital	United States
666	Carolus Nolet, Sr.	$2.6 B	76	Ketel One vodka	Netherlands
666	Daniel Och	$2.6 B	55	hedge funds	United States
666	Husnu Ozyegin	$2.6 B	72	finance, diversified	Turkey
666	A. Jerrold Perenchio	$2.6 B	86	television, Univision	United States
666	Krit Ratanarak	$2.6 B	70	media, real estate	Thailand
666	Henry Samueli	$2.6 B	62	semiconductors	United States
666	Hanni Toosbuy Kasprzak	$2.6 B	59	shoes	Denmark
666	Samuel Yin	$2.6 B	66	diversified	Taiwan
666	Zhang Xin	$2.6 B	51	real estate	China
688	Anil Ambani	$2.5 B	57	diversified	India
688	John Arnold	$2.5 B	42	hedge funds	United States
688	Andrej Babis	$2.5 B	62	agriculture	Czech Republic
688	David Bonderman	$2.5 B	74	private equity	United States
688	Jose Luis Cutrale	$2.5 B	70	orange juice	Brazil
688	Bharat & Neerja Sethi Desai	$2.5 B	64	IT consulting	United States
688	Kuldip Singh & Gurbachan Singh Dhingra	$2.5 B	-	paints	India
688	Philippe Foriel-Destezet	$2.5 B	81	employment agency	France
688	Tom Golisano	$2.5 B	75	payroll services	United States
688	Henry Hillman	$2.5 B	98	investments	United States
688	Johan Johannson	$2.5 B	50	grocery stores	Norway
688	Viatcheslav Kantor	$2.5 B	63	fertilizer, real estate	Russia
688	Louis Le Duff	$2.5 B	70	bakeries	France
688	Li Zhongchu	$2.5 B	53	software	China
688	Stephen Mandel, Jr.	$2.5 B	60	hedge funds	United States
688	Mohamed Mansour	$2.5 B	68	diversified	Egypt
688	Najib Mikati	$2.5 B	61	telecom	Lebanon
688	Taha Mikati	$2.5 B	72	telecom	Lebanon
688	Michael Milken	$2.5 B	70	investments	United States
688	Yoshiko Mori	$2.5 B	76	real estate	Japan
688	Philip Niarchos	$2.5 B	63	art collection	Greece
688	Sebastian Pinera	$2.5 B	67	investments	Chile
688	P.V. Ramprasad Reddy	$2.5 B	58	pharmaceuticals	India
688	Gary Rollins	$2.5 B	72	pest control	United States
688	Randall Rollins	$2.5 B	85	pest control	United States
688	Dieter Schnabel	$2.5 B	71	chemicals	Germany
688	Robert Smith	$2.5 B	54	private equity	United States
688	Zygmunt Solorz-Zak	$2.5 B	60	TV broadcasting	Poland
688	Wang Xing	$2.5 B	43	e-commerce	China
688	William Wrigley, Jr.	$2.5 B	53	chewing gum	United States
688	Yu Yong	$2.5 B	55	mining investments	China
688	Eddie & Sol Zakay	$2.5 B	66	real estate	United Kingdom
688	Christoph Zeller	$2.5 B	59	dental implants	Liechtenstein
688	Mortimer Zuckerman	$2.5 B	79	real estate, media	United States
722	Rahul Bajaj	$2.4 B	78	motorcycles	India
722	George Bishop	$2.4 B	79	oil & gas	United States
722	Jim Breyer	$2.4 B	55	venture capital	United States
722	Bernardo Caprotti	$2.4 B	91	grocery stores	Italy
722	Tatiana Casiraghi	$2.4 B	33	beer	Monaco
722	John Caudwell	$2.4 B	64	mobile phones	United Kingdom
722	Jason Chang	$2.4 B	72	electronics	Singapore
722	Chase Coleman, III.	$2.4 B	41	hedge fund	United States
722	Judy Faulkner	$2.4 B	73	health IT	United States
722	Bernd Freier	$2.4 B	60	retail	Germany
722	Reid Hoffman	$2.4 B	49	LinkedIn	United States
722	Huang Shih Tsai	$2.4 B	65	real estate	Hong Kong
722	Igor Kesaev	$2.4 B	50	tobacco distribution, retail	Russia
722	Andrei Kozitsyn	$2.4 B	56	metals	Russia
722	Raj Kumar & Kishin RK	$2.4 B	62	real estate	Singapore
722	Marc Ladreit de Lacharriere	$2.4 B	76	finance	France
722	Manuel Lao Hernandez	$2.4 B	72	gambling	Spain
722	Patrick Lee	$2.4 B	74	paper	Hong Kong
722	Douglas Leone	$2.4 B	59	venture capital	United States
722	Lin Xiucheng	$2.4 B	61	electronics	China
722	George Lindemann	$2.4 B	80	investments	United States
722	Friedhelm Loh	$2.4 B	70	manufacturing	Germany
722	Alexander Mamut	$2.4 B	56	investments	Russia
722	Hans Melchers	$2.4 B	78	chemicals, investments	Netherlands
722	C. Dean Metropoulos	$2.4 B	70	investments	United States
722	Tom Morris	$2.4 B	62	Retail	United Kingdom
722	Stefan Olsson	$2.4 B	68	diversified	Sweden
722	Sean Parker	$2.4 B	37	Facebook	United States
722	Karl-Johan Persson	$2.4 B	41	H&M	Sweden
722	Tom Persson	$2.4 B	32	H&M	Sweden
722	Enrique Razon, Jr.	$2.4 B	56	ports	Philippines
722	Phillip Ruffin	$2.4 B	81	casinos, real estate	United States
722	Ferit Faik Sahenk	$2.4 B	52	banking, media	Turkey
722	Julio Mario Santo Domingo, III.	$2.4 B	31	beer	United States
722	Michael & Reiner Schmidt-Ruthenbeck	$2.4 B	-	retail	Germany
722	Richard Schulze	$2.4 B	76	Best Buy	United States
722	Charlotte Soderstrom	$2.4 B	40	H&M	Sweden
722	Clemmie Spangler, Jr.	$2.4 B	84	investments	United States
722	Warren Stephens	$2.4 B	59	investment banking	United States
722	Lawrence Stroll	$2.4 B	57	retail	Canada
722	Daniel Tsai	$2.4 B	60	finance	Taiwan
722	Richard Tsai	$2.4 B	59	finance	Taiwan
722	Wang Changtian	$2.4 B	51	TV, movie production	China
722	Ty Warner	$2.4 B	72	real estate, plush toys	United States
722	Dean White	$2.4 B	93	billboards, hotels	United States
722	Steve Wynn	$2.4 B	74	casinos, hotels	United States
722	Vladimir Yevtushenkov	$2.4 B	68	telecom	Russia
722	Michael Ying	$2.4 B	67	retail	Hong Kong
722	Zheng Yuewen	$2.4 B	54	investments	China
771	Rinat Akhmetov	$2.3 B	50	steel, coal	Ukraine
771	Mohammed Al Issa	$2.3 B	92	investments	Saudi Arabia
771	Anthony Bamford	$2.3 B	71	construction equipment	United Kingdom
771	Carl Bennet	$2.3 B	65	investments	Sweden
771	Patrizio Bertelli	$2.3 B	71	luxury goods	Italy
771	Charles Bronfman	$2.3 B	85	liquor	Canada
771	Eva Maria Bucher-Haefner	$2.3 B	60	Computer Associates	Switzerland
771	William Conway, Jr.	$2.3 B	67	private equity	United States
771	Daniel D'Aniello	$2.3 B	70	private equity	United States
771	Edgar de Picciotto	$2.3 B	87	private banking	Switzerland
771	Barry Diller	$2.3 B	74	online media	United States
771	Fong Yun Wah	$2.3 B	92	real estate	Hong Kong
771	Don Hankey	$2.3 B	73	auto loans	United States
771	Jimmy Haslam	$2.3 B	62	gas stations, retail	United States
771	Huang Wei	$2.3 B	57	diversified	China
771	James Irsay	$2.3 B	57	Indianapolis Colts	United States
771	Kim Jung-Ju	$2.3 B	48	online games	South Korea
771	Kurt Krieger	$2.3 B	68	furniture retailing	Germany
771	Herman Langness	$2.3 B	-	food wholesale and retail	Germany
771	Mangal Prabhat Lodha	$2.3 B	61	real estate	India
771	Bernardo Matte	$2.3 B	61	paper	Chile
771	Eliodoro Matte	$2.3 B	71	paper	Chile
771	Patricia Matte	$2.3 B	73	paper	Chile
771	Vadim Moshkovich	$2.3 B	49	agriculture, land	Russia
771	Alexander Ponomarenko	$2.3 B	52	ports	Russia
771	Miuccia Prada	$2.3 B	67	Prada	Italy
771	John Pritzker	$2.3 B	64	hotels, investments	United States
771	Penny Pritzker	$2.3 B	57	hotels, investments	United States
771	Michael Rubin	$2.3 B	44	online retailing	United States
771	Patrick Ryan	$2.3 B	79	insurance	United States
771	Alexander Skorobogatko	$2.3 B	49	ports	Russia
771	Helmut Sohmen	$2.3 B	77	shipping	Austria
771	Song Zuowen	$2.3 B	69	aluminum, diversified	China
771	Pat Stryker	$2.3 B	60	medical equipment	United States
771	Tang Yiu	$2.3 B	82	retailing	Hong Kong
771	Tse Ping	$2.3 B	64	pharmaceuticals	China
771	Bulat Utemuratov	$2.3 B	59	mining, banking, hotels	Kazakhstan
771	Yeoh Tiong Lay	$2.3 B	87	construction, real estate	Malaysia
771	Zhou Yahui	$2.3 B	39	online games	China
810	Saif Al Ghurair	$2.2 B	93	diversified	United Arab Emirates
810	John Arrillaga	$2.2 B	79	real estate	United States
810	Semahat Sevim Arsel	$2.2 B	88	diversified	Turkey
810	Tom Benson	$2.2 B	89	New Orleans Saints	United States
810	Jurgen Blickle	$2.2 B	70	auto parts	Germany
810	Hubert Burda	$2.2 B	76	publishing	Germany
810	Smita Crishna-Godrej	$2.2 B	66	diversified	India
810	Ashwin Dani	$2.2 B	74	paints	India
810	Eduardo Eurnekian	$2.2 B	84	airports, investments	Argentina
810	John Fisher	$2.2 B	55	Gap	United States
810	Fu Liquan	$2.2 B	49	surveillance equipment	China
810	Adi Godrej	$2.2 B	74	consumer goods	India
810	Jamshyd Godrej	$2.2 B	67	consumer goods	India
810	Nadir Godrej	$2.2 B	66	diversified	India
810	Noam Gottesman	$2.2 B	55	hedge funds	United States
810	Martin Haefner	$2.2 B	63	software, investments	Switzerland
810	Caroline Hagen Kjos	$2.2 B	33	Orkla	Norway
810	Bahaa Hariri	$2.2 B	50	real estate, investments, logistics	Lebanon
810	Joshua Harris	$2.2 B	52	private equity	United States
810	B. Wayne Hughes	$2.2 B	83	self storage	United States
810	Min Kao	$2.2 B	67	navigation equipment	United States
810	Brad Kelley	$2.2 B	60	tobacco	United States
810	Alicia Koplowitz	$2.2 B	62	construction, investments	Spain
810	Kuok Khoon Hong	$2.2 B	67	palm oil	Singapore
810	Edward Lampert	$2.2 B	54	Sears	United States
810	Lee Joong-Keun	$2.2 B	75	construction	South Korea
810	Lim Sung-Ki	$2.2 B	76	Pharma	South Korea
810	Kalanithi Maran	$2.2 B	51	media	India
810	Robert Miller	$2.2 B	83	retail	United Kingdom
810	Shigenobu Nagamori	$2.2 B	72	motors	Japan
810	Rishad Naoroji	$2.2 B	65	consumer goods	India
810	Gabe Newell	$2.2 B	54	videogames	United States
810	Jay Paul	$2.2 B	69	real estate	United States
810	Richard Peery	$2.2 B	78	real estate	United States
810	Marc Rowan	$2.2 B	54	private equity	United States
810	David Rubenstein	$2.2 B	67	private equity	United States
810	Alvaro Saieh Bendeck	$2.2 B	67	banking	Chile
810	Shen Guojun	$2.2 B	54	retail	China
810	Gil Shwed	$2.2 B	49	software	Israel
810	Thomas Siebel	$2.2 B	64	business software	United States
810	Paul Singer	$2.2 B	72	hedge funds	United States
810	Ted Turner	$2.2 B	78	cable television	United States
810	Mark Walter	$2.2 B	56	finance	United States
810	Xiao Wenge	$2.2 B	50	entertainment	China
854	S. Daniel Abraham	$2.1 B	92	Slim-Fast	United States
854	Emilio Azcarraga Jean	$2.1 B	48	TV broadcasting	Mexico
854	John Brown	$2.1 B	82	medical equipment	United States
854	Chen Bang	$2.1 B	51	hospitals	China
854	Jaran Chiaravanont	$2.1 B	86	Diversified	Thailand
854	James Coulter	$2.1 B	57	private equity	United States
854	Oleg Deripaska	$2.1 B	49	aluminum, utilities	Russia
854	Francisco Ivens de Sa Dias Branco	$2.1 B	82	food production	Brazil
854	Bergit Douglas	$2.1 B	70	consumer goods	Germany
854	Charles Dunstone	$2.1 B	53	mobile phones	United Kingdom
854	Feng Hailiang	$2.1 B	56	copper, real estate	China
854	David Filo	$2.1 B	50	Yahoo	United States
854	Gordon Getty	$2.1 B	83	Getty Oil	United States
854	Ivan Glasenberg	$2.1 B	59	mining	Switzerland
854	Alec Gores	$2.1 B	63	private equity	United States
854	Stein Erik Hagen	$2.1 B	60	retail	Norway
854	Carlos Hank Rhon	$2.1 B	69	banking	Mexico
854	John Henry	$2.1 B	67	sports	United States
854	Stanley Hubbard	$2.1 B	83	DirecTV	United States
854	Johnelle Hunt	$2.1 B	84	trucking	United States
854	Ji Changqun	$2.1 B	49	real estate	China
854	Jiang Weiping	$2.1 B	61	chemicals	China
854	Sumet Jiaravanon	$2.1 B	82	Diversified	Thailand
854	Montri Jiaravanont	$2.1 B	85	diversified	Thailand
854	Aerin Lauder Zinterhofer	$2.1 B	47	cosmetics	United States
854	Maritsa Lazari	$2.1 B	72	real estate	United Kingdom
854	Peter Lim	$2.1 B	63	investments	Singapore
854	Igor Makarov	$2.1 B	54	gas	Russia
854	Joe Mansueto	$2.1 B	60	investment research	United States
854	Hans Georg Naeder	$2.1 B	55	prosthetics	Germany
854	Maja Oeri	$2.1 B	62	Roche Holding	Switzerland
854	Alfred Oetker	$2.1 B	50	consumer goods	Germany
854	August Oetker	$2.1 B	72	consumer goods	Germany
854	Carl Ferdinand Oetker	$2.1 B	44	consumer goods	Germany
854	Christian Oetker	$2.1 B	68	consumer goods	Germany
854	Julia Oetker	$2.1 B	37	consumer goods	Germany
854	Richard Oetker	$2.1 B	65	consumer goods	Germany
854	Park Hyeon-Joo	$2.1 B	58	mutual funds	South Korea
854	Jean (Gigi) Pritzker	$2.1 B	54	hotels, investments	United States
854	Nicolas Puech	$2.1 B	73	Hermes	France
854	Mochtar Riady	$2.1 B	87	diversified	Indonesia
854	Rosely Schweizer	$2.1 B	76	consumer goods	Germany
854	Vivek Chaand Sehgal	$2.1 B	60	auto parts	Australia
854	Erik Selin	$2.1 B	49	Balder	Sweden
854	Scott Simplot	$2.1 B	70	fertilizer	United States
854	Dan Snyder	$2.1 B	52	Washington Redskins	United States
854	Alexandre Soares dos Santos	$2.1 B	82	retail	Portugal
854	Evan Spiegel	$2.1 B	26	Snapchat	United States
854	Sze Man Bok	$2.1 B	67	hygiene products	China
854	David Teoh	$2.1 B	60	telecommunications	Australia
854	Arne Wilhelmsen	$2.1 B	86	cruise ships	Norway
854	Chip Wilson	$2.1 B	60	Lululemon	Canada
906	Juan Abello	$2 B	75	investments	Spain
906	William Ackman	$2 B	50	hedge funds	United States
906	Faisal Bin Qassim Al Thani	$2 B	69	hotels, diversified	Qatar
906	Emanuella Barilla	$2 B	50	Barilla pasta	Italy
906	Guido Barilla	$2 B	58	Barilla pasta	Italy
906	Luca Barilla	$2 B	57	Barilla pasta	Italy
906	Paolo Barilla	$2 B	55	Barilla pasta	Italy
906	Ron Baron	$2 B	73	money management	United States
906	Rainer Blickle	$2 B	69	auto parts	Germany
906	Cai Kui	$2 B	54	real estate	China
906	Jose and Francisco Jose Calderon Rojas	$2 B	-	beverages	Mexico
906	Gustavo Cisneros	$2 B	71	media	Venezuela
906	James Dinan	$2 B	57	hedge funds	United States
906	Murali Divi	$2 B	65	pharmaceuticals	India
906	Ennio Doris	$2 B	76	financial services	Italy
906	Glenn Dubin	$2 B	59	hedge funds	United States
906	Miguel Fluxa Rossello	$2 B	78	hotels	Spain
906	Gerald Ford	$2 B	72	banking	United States
906	James France	$2 B	72	Nascar, racing	United States
906	Bill Gross	$2 B	72	investments	United States
906	Huang Wenji	$2 B	48	umbrellas	China
906	Hui Lin Chit	$2 B	63	hygiene products	China
906	Erman Ilicak	$2 B	49	construction	Turkey
906	John Kapoor	$2 B	73	healthcare	United States
906	Mustafa Rahmi Koc	$2 B	86	diversified	Turkey
906	Mustafa Kucuk	$2 B	53	Fashion and Retail	Turkey
906	Timur Kulibaev	$2 B	50	banking	Kazakhstan
906	Dinara Kulibaeva	$2 B	49	banking	Kazakhstan
906	Spiro Latsis	$2 B	70	banking, shipping	Greece
906	Thomas Lee	$2 B	72	leveraged buyouts	United States
906	Vincent Lo	$2 B	67	real estate	Hong Kong
906	Henry Nicholas, III.	$2 B	57	semiconductors	United States
906	Akio Nitori	$2 B	73	retail	Japan
906	Bob Parsons	$2 B	66	web hosting	United States
906	Robert Pera	$2 B	38	wireless networking gear	United States
906	Daniel Pritzker	$2 B	57	hotels, investments	United States
906	Chandru Raheja	$2 B	76	real estate	India
906	Stewart Rahr	$2 B	70	drug distribution	United States
906	Larry Robbins	$2 B	47	hedge funds	United States
906	Thomas Secunda	$2 B	62	Bloomberg LP	United States
906	Yasumitsu Shigeta	$2 B	51	mobile telecom	Japan
906	Sit Kwong Lam	$2 B	48	oil, transportation	Hong Kong
906	Tahir	$2 B	64	diversified	Indonesia
906	Sarik Tara	$2 B	86	construction	Turkey
906	Clemens Toennies	$2 B	60	meat processing	Germany
906	T.Y. Tsai	$2 B	-	finance	Taiwan
906	Peter Unger	$2 B	72	auto repair	Germany
906	Sunil Vaswani	$2 B	53	diversified	United Kingdom
906	Georg von Opel	$2 B	50	real estate/investments	Germany
906	David Walentas	$2 B	78	real estate	United States
906	Wu Guangming	$2 B	54	medical equipment	China
906	Yan Zhi	$2 B	44	real estate	China
906	Yi Zheng	$2 B	46	software	China
959	Mohamed Al Fayed	$1.9 B	87	retail, investments	Egypt
959	Louis Bacon	$1.9 B	60	hedge funds	United States
959	Othman Benjelloun	$1.9 B	84	banking, insurance	Morocco
959	Rossana Camargo de Arruda Botelho	$1.9 B	67	construction	Brazil
959	Pierre Chen	$1.9 B	59	art, electronics	Taiwan
959	John Coates	$1.9 B	46	online gambling	United Kingdom
959	Scott Cook	$1.9 B	64	software	United States
959	Edson de Godoy Bueno	$1.9 B	73	hospitals, health care	Brazil
959	Dermot Desmond	$1.9 B	66	finance	Ireland
959	Du Jiangtao	$1.9 B	47	chemicals	China
959	Aloysio de Andrade Faria	$1.9 B	96	banking	Brazil
959	Carlo Fidani	$1.9 B	62	real estate	Canada
959	Rakesh Gangwal	$1.9 B	63	Airlines	United States
959	Fiona Geminder	$1.9 B	52	packaging	Australia
959	Joseph Grendys	$1.9 B	55	meat processing	United States
959	David Hains	$1.9 B	86	finance	Australia
959	Huang Qiaoling	$1.9 B	58	amusement parks	China
959	Manuel Jove	$1.9 B	75	real estate	Spain
959	Baba Kalyani	$1.9 B	67	engineering	India
959	Saleh Kamel	$1.9 B	75	banking, healthcare	Saudi Arabia
959	Bruce Karsh	$1.9 B	61	private equity	United States
959	King Pak Fu	$1.9 B	47	real estate	Hong Kong
959	William Koch	$1.9 B	76	oil, investments	United States
959	Stephen Lansdown	$1.9 B	64	financial services	Guernsey
959	Lee Boo-Jin	$1.9 B	46	computer services/tourism	South Korea
959	Lee Man Tat	$1.9 B	87	food	Hong Kong
959	Liang Xinjun	$1.9 B	49	conglomerate	China
959	Liang Yunchao	$1.9 B	47	nutrition supplements	China
959	Howard Marks	$1.9 B	70	private equity	United States
959	Drayton McLane, Jr.	$1.9 B	80	Wal-Mart, logistics	United States
959	Thomas Meyer	$1.9 B	57	apparel retailer	Switzerland
959	N.R. Narayana Murthy	$1.9 B	70	software services	India
959	David Nahmad	$1.9 B	69	art	Monaco
959	Renata de Camargo Nascimento	$1.9 B	66	construction	Brazil
959	Madeleine Olsson Ericksson	$1.9 B	72	diversified	Sweden
959	Regina de Camargo Pires Oliveira Dias	$1.9 B	63	construction	Brazil
959	Murdaya Poo	$1.9 B	75	diversified	Indonesia
959	Que Wenbin	$1.9 B	53	pharmaceuticals	China
959	Luigi Rovati	$1.9 B	88	pharmaceuticals	Italy
959	Seo Jung-Jin	$1.9 B	59	biotechnology	South Korea
959	Yuri Shefler	$1.9 B	49	alcohol	Russia
959	Shin Chang-Jae	$1.9 B	63	insurance	South Korea
959	Jon Stryker	$1.9 B	58	medical equipment	United States
959	Sunny Varkey	$1.9 B	59	education	India
959	Vincent Viola	$1.9 B	60	electronic trading	United States
959	Radovan Vitek	$1.9 B	45	real estate	Czech Republic
959	Wang Jing	$1.9 B	44	telecom services	China
959	Meg Whitman	$1.9 B	60	eBay	United States
959	Wu Zhigang	$1.9 B	81	bakery chain	China
959	Yao Zhenhua	$1.9 B	46	conglomerate	China
959	Denise York	$1.9 B	66	San Francisco 49ers	United States
959	Zhou Chengjian	$1.9 B	51	fashion retail	China
1011	George Argyros	$1.8 B	79	real estate, investments	United States
1011	Edward Bass	$1.8 B	71	oil, investments	United States
1011	Lee Bass	$1.8 B	60	oil, investments	United States
1011	Sid Bass	$1.8 B	74	oil, investments	United States
1011	Norman Braman	$1.8 B	84	art, car dealerships	United States
1011	Thomas Bruch	$1.8 B	66	food retailing	Germany
1011	Cao Longxiang	$1.8 B	59	pharmaceuticals	China
1011	Chang Yun Chung	$1.8 B	98	shipping	Singapore
1011	Chen Hua	$1.8 B	51	real estate	China
1011	Hasmukh Chudgar	$1.8 B	83	pharmaceuticals	India
1011	James Clark	$1.8 B	72	Netscape, investments	United States
1011	Cui Lijie	$1.8 B	58	gambling	Hong Kong
1011	Andrew Currie	$1.8 B	61	Chemicals	United Kingdom
1011	Sanford Diller	$1.8 B	89	real estate	United States
1011	Hedda Brahm Droege	$1.8 B	62	Consulting	Germany
1011	Fang Wei	$1.8 B	43	steel	China
1011	Clement Fayat	$1.8 B	84	construction	France
1011	Kenneth Feld	$1.8 B	68	circus, live entertainment	United States
1011	Esther Grether	$1.8 B	81	art collection, Swatch	Switzerland
1011	Gudrun Heine	$1.8 B	62	medical devices	Germany
1011	Michael Hintze	$1.8 B	63	investment	Australia
1011	Rakesh Jhunjhunwala	$1.8 B	56	investments	India
1011	Jiang Rensheng	$1.8 B	63	vaccine production	China
1011	Suna Kirac	$1.8 B	75	diversified	Turkey
1011	Jeffrey Lurie	$1.8 B	65	Philadelphia Eagles	United States
1011	Maggie Magerko	$1.8 B	51	building materials	United States
1011	Arturo Moreno	$1.8 B	70	billboards	United States
1011	Mario Moretti Polegato	$1.8 B	64	shoes	Italy
1011	Manuel Moroun	$1.8 B	89	transportation	United States
1011	Farhad Moshiri	$1.8 B	61	diversified	United Kingdom
1011	Bobby Murphy	$1.8 B	28	Snapchat	United States
1011	Kerr Neilson	$1.8 B	67	investment	Australia
1011	Jonathan Nelson	$1.8 B	60	private equity	United States
1011	Femi Otedola	$1.8 B	54	gas stations, utilities	Nigeria
1011	Ajay Piramal	$1.8 B	61	pharmaceuticals	India
1011	Linda Pritzker	$1.8 B	63	hotels, investments	United States
1011	John Reece	$1.8 B	59	Chemicals	United Kingdom
1011	Jeff Rothschild	$1.8 B	62	Facebook	United States
1011	B.R. Shetty	$1.8 B	75	healthcare	India
1011	Kavitark Ram Shriram	$1.8 B	59	venture capital, Google	United States
1011	Michal Solowow	$1.8 B	54	investments	Poland
1011	Peter Sondakh	$1.8 B	66	investments	Indonesia
1011	Mark Stevens	$1.8 B	56	venture capital	United States
1011	Sybill Storz	$1.8 B	79	medical devices	Germany
1011	Sylvia Stroeher	$1.8 B	61	cosmetics	Germany
1011	Glen Taylor	$1.8 B	75	printing	United States
1011	Torbjorn Tornqvist	$1.8 B	63	oil trading	Sweden
1011	John Tyson	$1.8 B	63	food processing	United States
1011	Hamdi Ulukaya	$1.8 B	45	Chobani yogurt	Turkey
1011	Pham Nhat Vuong	$1.8 B	48	real estate	Vietnam
1011	Wang Qingtao	$1.8 B	54	steel smelting	China
1011	Amy Wyss	$1.8 B	46	medical equipment	United States
1011	Xiong Xuqiang	$1.8 B	60	real estate	Hong Kong
1011	Xu Jingren	$1.8 B	72	pharmaceuticals	China
1011	Zhu Qingyi	$1.8 B	47	real estate	China
1011	Anita Zucker	$1.8 B	64	chemicals	United States
1067	Carol Jenkins Barnett	$1.7 B	60	Publix supermarkets	United States
1067	Hubertus Benteler	$1.7 B	70	auto parts	Germany
1067	Vladimir Bogdanov	$1.7 B	65	oil	Russia
1067	Timothy Boyle	$1.7 B	67	Columbia Sportswear	United States
1067	Michel Chalhoub	$1.7 B	85	retail	France
1067	Che Jianxing	$1.7 B	50	furniture retailing	China
1067	Chu Lam Yiu	$1.7 B	47	flavorings	Hong Kong
1067	Jean Coutu	$1.7 B	89	pharmacies	Canada
1067	Kommer Damen	$1.7 B	72	shipbuilding	Netherlands
1067	Ray Davis	$1.7 B	75	pipelines	United States
1067	Fritz Draexlmaier	$1.7 B	-	auto parts	Germany
1067	Fu Meicheng	$1.7 B	59	TV shows, movies	China
1067	Rolf Gerling	$1.7 B	62	insurance	Germany
1067	Roberto Hernandez Ramirez	$1.7 B	74	banking	Mexico
1067	Christopher Hohn	$1.7 B	50	Hedge fund	United Kingdom
1067	W. Herbert Hunt	$1.7 B	87	oil	United States
1067	Kim Beom-Su	$1.7 B	50	mobile chat service	South Korea
1067	Koo Bon-Moo	$1.7 B	71	electronics/chemicals/household products	South Korea
1067	Marc Lasry	$1.7 B	56	hedge funds	United States
1067	Lee Seo-Hyun	$1.7 B	43	computer services/tourism	South Korea
1067	Li Shufu	$1.7 B	53	automobiles	China
1067	Liu Xiaodong	$1.7 B	49	flavorings	China
1067	Jeffrey Lorberbaum	$1.7 B	62	flooring	United States
1067	Catherine Lozick	$1.7 B	72	valve manufacturing	United States
1067	Youssef Mansour	$1.7 B	71	diversified	Egypt
1067	Craig McCaw	$1.7 B	67	telecom	United States
1067	Lachhman Das Mittal	$1.7 B	86	tractors	India
1067	Nirav Modi	$1.7 B	46	diamond jewelry	India
1067	Marius Nacht	$1.7 B	51	software	Israel
1067	Ranjan Pai	$1.7 B	44	education	India
1067	Forrest Preston	$1.7 B	83	health care	United States
1067	Jennifer Pritzker	$1.7 B	66	hotels, investments	United States
1067	Qin Yinglin	$1.7 B	51	pig breeding	China
1067	Ren Zhengfei	$1.7 B	73	telecom equipment	China
1067	Helena Revoredo	$1.7 B	69	private security	Spain
1067	Stephen Rubin	$1.7 B	79	sports apparel	United Kingdom
1067	Jacques Saade	$1.7 B	79	shipping	France
1067	Carlos Sanchez	$1.7 B	54	generic drugs	Brazil
1067	Karl Scheufele, III.	$1.7 B	78	jewelry	Switzerland
1067	Klaus-Peter Schulenberg	$1.7 B	-	ticketing service	Germany
1067	Gerald Schwartz	$1.7 B	75	finance	Canada
1067	Shen Wenrong	$1.7 B	70	steel production	China
1067	Don Simplot	$1.7 B	81	fertilizer	United States
1067	Gay Simplot	$1.7 B	71	fertilizer	United States
1067	Alexander Spanos	$1.7 B	93	real estate	United States
1067	Sun Xishuang	$1.7 B	63	real estate	China
1067	Leena Tewari	$1.7 B	59	pharmaceuticals	India
1067	Torsten Toeller	$1.7 B	50	pet food	Germany
1067	Wang Wenjing	$1.7 B	52	business software	China
1067	Kelcy Warren	$1.7 B	61	pipelines	United States
1067	Xu Ziquan	$1.7 B	58	software	China
1067	Richard Yuengling, Jr.	$1.7 B	73	beer	United States
1067	Zhang Li	$1.7 B	64	real estate	China
1067	Zhou Guohui	$1.7 B	52	logistics	China
1121	Folorunsho Alakija	$1.6 B	66	oil	Nigeria
1121	Carlos Ardila Lulle	$1.6 B	86	soft drinks, diversified	Colombia
1121	O. Francis Biondi	$1.6 B	52	hedge fund	United States
1121	Thor Bjorgolfsson	$1.6 B	49	investments	Iceland
1121	Alberto Bombassei	$1.6 B	76	automotive brakes	Italy
1121	Julio Bozano	$1.6 B	80	banking	Brazil
1121	Francesco Gaetano Caltagirone	$1.6 B	73	cement, diversified	Italy
1121	Chen Jianhua	$1.6 B	46	chemicals	China
1121	Chen Jinxia	$1.6 B	48	investments	China
1121	Lucio and Susan Co	$1.6 B	62	Retailing	Philippines
1121	Robert Coyiuto, Jr.	$1.6 B	64	power	Philippines
1121	Belmiro de Azevedo	$1.6 B	78	retail	Portugal
1121	Benjamin de Rothschild	$1.6 B	53	banking	Switzerland
1121	Diego Della Valle	$1.6 B	63	shoes	Italy
1121	Ding Shijia	$1.6 B	53	sportswear	China
1121	Ding Shizhong	$1.6 B	46	sports apparel	China
1121	Andre Esteves	$1.6 B	48	banking	Brazil
1121	Fu Guangming	$1.6 B	63	poultry	China
1121	Victor Fung	$1.6 B	71	trading company	United States
1121	William Fung	$1.6 B	67	sourcing	Hong Kong
1121	Peter Gilgan	$1.6 B	66	homebuilding	Canada
1121	Sam Goi	$1.6 B	68	frozen foods	Singapore
1121	Mitchell Goldhar	$1.6 B	55	real estate	Canada
