Rank	Name	Net Worth	Age	Source	Country of Citizenship
11	Liliane Bettencourt	$36.1 B	94	L'Oreal	France
16	Alice Walton	$32.3 B	67	Wal-Mart	United States
27	Jacqueline Mars	$23.4 B	77	candy	United States
30	Maria Franca Fissolo	$22.1 B	99	Nutella, Chocolates	Italy
38	Susanne Klatten	$18.5 B	54	BMW, pharmaceuticals	Germany
44	Laurene Powell Jobs	$16.7 B	53	Apple, Disney	United States
65	Abigail Johnson	$13.1 B	55	money management	United States
76	Charlene de Carvalho-Heineken	$12.3 B	62	Heineken	Netherlands
101	Iris Fontbona	$10.1 B	74	mining	Chile
101	Massimiliana Landini Aleotti	$10.1 B	74	pharmaceuticals	Italy
108	Blair Parry-Okeden	$9.7 B	66	media	United States
127	Gina Rinehart	$8.8 B	62	mining	Australia
171	Margarita Louis-Dreyfus	$6.8 B	54	commodities	Switzerland
178	Sandra Ortega Mera	$6.4 B	48	Zara	Spain
178	Katharine Rayner	$6.4 B	71	media	United States
178	Margaretta Taylor	$6.4 B	74	media	United States
196	Eva Gonda de Rivera	$6.1 B	-	beverages	Mexico
205	Zhou Qunfei	$5.9 B	47	smartphone screens	Hong Kong
219	Antonia Johnson	$5.7 B	73	diversified	Sweden
219	Pauline MacMillan Keinath	$5.7 B	83	Cargill	United States
233	Maria Asuncion Aramburuzabala	$5.5 B	53	beer, investments	Mexico
233	Kirsten Rausing	$5.5 B	64	packaging	Sweden
258	Chan Laiwa	$5.2 B	76	real estate	China
258	Christy Walton	$5.2 B	67	Wal-Mart	United States
262	Vivien Chen	$5.1 B	57	real estate	Hong Kong
262	Diane Hendricks	$5.1 B	69	roofing	United States
270	Tamara Gustavson	$5 B	55	self storage	United States
270	Yang Huiyan	$5 B	35	real estate	China
324	Dona Bertarelli	$4.5 B	49	biotech	Switzerland
324	Ann Walton Kroenke	$4.5 B	68	Wal-Mart	United States
324	Maria-Elisabeth Schaeffler	$4.5 B	75	auto parts	Germany
338	Renate Reimann-Haas	$4.4 B	65	consumer goods	Germany
358	Carrie Perrodo	$4.2 B	66	oil	France
369	Dannine Avara	$4.1 B	52	pipelines	United States
369	Milane Frantz	$4.1 B	47	pipelines	United States
369	Randa Williams	$4.1 B	55	pipelines	United States
380	Nancy Walton Laurie	$4 B	65	Wal-Mart	United States
392	Shari Arison	$3.9 B	59	Carnival Cruises	Israel
392	Martha Ingram	$3.9 B	81	book distribution, transportation	United States
392	Mary Alice Dorrance Malone	$3.9 B	66	Campbell Soup	United States
403	Denise Coates	$3.8 B	49	online gambling	United Kingdom
403	Traudl Engelhorn	$3.8 B	-	pharmaceuticals/medical equipment	Germany
403	Ursula Engelhorn	$3.8 B	-	pharmaceuticals/medical equipment	Germany
403	Karen Pritzker	$3.8 B	58	hotels, investments	United States
421	Rahel Blocher	$3.7 B	41	chemicals	Switzerland
421	Magdalena Martullo-Blocher	$3.7 B	48	chemicals	Switzerland
435	Elizabeth Holmes	$3.6 B	32	blood testing	United States
435	Gwendolyn Sontheim Meyer	$3.6 B	55	Cargill	United States
435	Ronda Stryker	$3.6 B	62	medical equipment	United States
435	Lottie Tham	$3.6 B	67	H&M	Sweden
453	Savitri Jindal	$3.5 B	66	steel	India
477	Pansy Ho	$3.4 B	54	casinos	Hong Kong
477	Elisabeth Mohn	$3.4 B	76	media	Germany
477	Lynn Schusterman	$3.4 B	77	oil & gas, investments	United States
477	Friede Springer	$3.4 B	74	publishing	Germany
495	Rosa Anna Magno Garavoglia	$3.3 B	-	spirits	Italy
495	Imogene Powers Johnson	$3.3 B	86	cleaning products	United States
495	Helen Johnson-Leipold	$3.3 B	60	cleaning products	United States
495	Winnie Johnson-Marquart	$3.3 B	57	cleaning products	United States
495	Joan Tisch	$3.3 B	89	diversified	United States
527	Marianne Liebmann	$3.2 B	63	Cargill	United States
527	Wu Yajun	$3.2 B	53	real estate	China
549	Pollyanna Chu	$3.1 B	58	financial services	Hong Kong
549	Indu Jain	$3.1 B	80	media	India
569	Dagmar Dolby	$3 B	75	Dolby Laboratories	United States
569	Isabel dos Santos	$3 B	43	investments	Angola
569	Oprah Winfrey	$3 B	62	TV shows	United States
612	Giuliana Benetton	$2.8 B	79	clothing, investments	Italy
612	Daniela Herz	$2.8 B	63	coffee	Germany
612	Alexandra Schorghuber	$2.8 B	58	real estate	Germany
638	Marie Besnier Beauvalot	$2.7 B	36	cheese	France
